Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+170.218,+000.122,+179.347,-0.148,+0.033,-0.712,+00.0010,-00.1280,+10.0460,+00.000400,+00.000714,-00.000439
+170.221,+000.122,+179.346,-0.151,+0.035,-0.712,+00.0260,-00.1210,+10.0830,+00.000229,+00.000077,+00.001268
+170.220,+000.122,+179.346,-0.153,+0.032,-0.716,+00.0530,-00.1140,+10.0550,-00.000598,+00.000812,+00.000834
+170.224,+000.122,+179.345,-0.152,+0.033,-0.712,+00.0210,-00.1260,+10.1300,+00.000076,+00.000754,+00.000304
+170.223,+000.122,+179.345,-0.149,+0.032,-0.715,+00.0250,-00.1090,+10.1050,-00.001318,+00.000359,-00.000574
+170.222,+000.123,+179.345,-0.152,+0.028,-0.713,+00.0150,-00.1220,+10.1040,-00.000171,-00.000015,+00.000329
+170.222,+000.123,+179.345,-0.152,+0.027,-0.716,+00.0210,-00.1160,+10.1290,-00.000443,-00.000121,-00.000070
+170.218,+000.123,+179.345,-0.151,+0.028,-0.716,+00.0040,-00.1000,+10.0860,-00.000924,-00.000477,+00.000121
+170.222,+000.122,+179.344,-0.152,+0.035,-0.713,+00.0170,-00.1290,+10.0860,+00.000665,+00.000562,-00.001177
+170.219,+000.122,+179.344,-0.149,+0.035,-0.713,+00.0130,-00.1050,+10.0650,-00.000873,-00.000160,-00.000829
+170.216,+000.122,+179.344,-0.151,+0.032,-0.716,+00.0230,-00.1160,+10.0550,-00.000082,+00.001071,+00.000702
+170.215,+000.123,+179.342,-0.153,+0.033,-0.713,+00.0210,-00.1410,+10.0910,-00.000376,-00.001283,+00.000814
+170.216,+000.122,+179.342,-0.152,+0.025,-0.712,+00.0250,-00.1300,+10.0830,-00.000536,+00.001320,-00.000845
+170.213,+000.122,+179.343,-0.148,+0.034,-0.712,+00.0220,-00.1110,+10.0830,-00.000104,-00.000150,+00.000321
+170.213,+000.123,+179.343,-0.151,+0.027,-0.716,+00.0200,-00.1160,+10.0760,-00.000296,+00.000880,-00.000892
+170.217,+000.122,+179.343,-0.151,+0.031,-0.716,+00.0250,-00.1010,+10.0650,-00.000162,+00.000979,+00.000423
+170.220,+000.122,+179.344,-0.152,+0.036,-0.720,+00.0290,-00.1010,+10.0870,+00.001531,-00.001146,+00.000767
+170.221,+000.121,+179.345,-0.153,+0.035,-0.713,+00.0250,-00.1190,+10.0060,+00.001087,+00.000155,+00.000480
+170.217,+000.122,+179.345,-0.151,+0.032,-0.709,+00.0310,-00.1010,+10.0930,+00.001037,-00.000318,-00.000517
+170.220,+000.122,+179.344,-0.151,+0.031,-0.715,+00.0190,-00.0960,+10.0870,-00.000916,-00.000744,+00.000922
+170.219,+000.123,+179.344,-0.152,+0.037,-0.713,+00.0380,-00.1270,+10.0700,-00.000402,+00.000024,+00.000295
+170.220,+000.124,+179.344,-0.149,+0.030,-0.720,+00.0200,-00.1170,+10.1010,-00.000089,-00.000141,+00.000363
+170.219,+000.125,+179.344,-0.151,+0.040,-0.713,+00.0080,-00.1320,+10.1100,+00.000145,+00.000700,+00.000149
+170.219,+000.125,+179.343,-0.153,+0.037,-0.715,+00.0170,-00.1080,+10.0680,-00.000317,+00.000238,-00.000167
+170.217,+000.125,+179.345,-0.153,+0.032,-0.715,+00.0360,-00.1340,+10.0800,-00.000277,+00.000093,-00.000018
+170.219,+000.125,+179.343,-0.152,+0.037,-0.713,+00.0340,-00.1180,+10.0750,-00.001192,-00.000472,+00.000414
+170.216,+000.126,+179.342,-0.151,+0.033,-0.715,+00.0210,-00.1180,+10.0890,+00.000702,-00.000104,-00.001389
+170.210,+000.125,+179.342,-0.151,+0.032,-0.713,+00.0200,-00.1250,+10.0670,+00.000238,+00.000952,+00.000375
+170.212,+000.126,+179.341,-0.151,+0.041,-0.719,+00.0260,-00.1060,+10.0920,-00.001228,-00.001423,+00.000619
+170.213,+000.126,+179.342,-0.152,+0.025,-0.712,+00.0090,-00.1390,+10.1000,-00.000355,+00.000010,-00.000175
+170.216,+000.127,+179.342,-0.151,+0.033,-0.720,+00.0080,-00.1140,+10.1030,+00.000832,-00.001493,+00.001513
+170.212,+000.126,+179.340,-0.148,+0.028,-0.712,+00.0240,-00.1070,+10.0980,-00.000699,-00.000128,+00.000424
+170.214,+000.127,+179.341,-0.151,+0.035,-0.713,+00.0270,-00.1170,+10.0460,-00.000126,-00.001155,-00.000038
+170.211,+000.128,+179.341,-0.153,+0.031,-0.716,+00.0260,-00.1230,+10.0970,+00.000588,-00.001133,-00.000485
+170.212,+000.128,+179.339,-0.151,+0.039,-0.713,+00.0340,-00.1180,+10.0920,-00.000142,-00.000562,-00.000458
+170.213,+000.126,+179.339,-0.151,+0.031,-0.715,+00.0190,-00.1120,+10.0880,-00.000502,-00.000034,+00.000783
+170.214,+000.127,+179.339,-0.152,+0.034,-0.718,+00.0230,-00.1090,+10.0680,-00.000404,-00.000941,-00.000188
+170.214,+000.127,+179.340,-0.151,+0.028,-0.712,+00.0310,-00.1270,+10.1120,+00.000540,+00.001041,-00.000183
+170.213,+000.127,+179.340,-0.151,+0.029,-0.720,+00.0220,-00.0910,+10.0990,-00.000714,+00.000219,+00.000724
+170.214,+000.128,+179.341,-0.153,+0.034,-0.715,+00.0050,-00.1150,+10.0750,+00.000536,-00.001117,+00.000543
+170.215,+000.128,+179.341,-0.153,+0.032,-0.716,+00.0180,-00.1130,+10.1040,-00.000124,+00.000340,+00.000281
+170.215,+000.128,+179.342,-0.151,+0.029,-0.717,+00.0220,-00.1330,+10.0450,+00.000527,-00.001094,-00.000544
+170.216,+000.127,+179.342,-0.153,+0.041,-0.715,+00.0240,-00.1130,+10.0650,+00.000244,+00.000684,-00.000677
+170.215,+000.126,+179.342,-0.152,+0.029,-0.713,-00.0020,-00.0990,+10.0820,-00.000559,+00.000939,-00.000377
+170.216,+000.126,+179.343,-0.153,+0.033,-0.716,+00.0160,-00.1330,+10.0920,-00.000526,-00.000380,+00.000293
+170.217,+000.124,+179.343,-0.153,+0.031,-0.715,+00.0270,-00.1090,+10.1090,+00.000844,+00.000779,-00.000646
+170.216,+000.124,+179.344,-0.152,+0.031,-0.716,+00.0200,-00.1180,+10.0780,+00.001676,-00.000887,+00.000272
+170.217,+000.124,+179.343,-0.153,+0.034,-0.715,+00.0340,-00.1330,+10.0610,+00.000950,+00.001272,+00.000118
